epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.6647903919219971;0.38153505;0.13826963524679708;0.39534649982411174;0.18696186961869618;0.7717718;0.15194346;0.34871098;0.5308642;0.44339624;0.13365243706366375;0.528928928928929;0.9458625912666321;0.17647058823529413;0.89411765;0.14173229;0.4108108;0.6666667
1;0.60345059633255;0.4516129;0.14662656087735393;0.43498835787393003;0.19633507853403143;0.7760181;0.13785557;0.46540028;0.3888889;0.5471698;0.14227415705686797;0.5775775775775776;0.9190255403518677;0.1935483870967742;0.9082569;0.16504854;0.53513515;0.6296296
2;0.5736186504364014;0.4827586;0.148981287827757;0.4438832772166106;0.19538670284938942;0.77868855;0.13138686;0.5156038;0.33333334;0.5896226;0.14383187710307543;0.5803803803803803;0.873421311378479;0.19101123595505617;0.91525424;0.18085106;0.5837838;0.6296296
3;0.5658892393112183;0.45828697;0.14947374554971724;0.4466723620952477;0.19731543624161074;0.76939654;0.12643678;0.4843962;0.33950618;0.5849057;0.14676632513109936;0.5887887887887888;0.9921590685844421;0.1978021978021978;0.9217391;0.185567;0.57297295;0.6666667
4;0.557554304599762;0.43270302;0.1470870877577057;0.43619444863225953;0.19701086956521738;0.7775061;0.14489795;0.43147898;0.4382716;0.5330189;0.14370313758745484;0.5747747747747747;1.0335997343063354;0.19672131147540983;0.91346157;0.16666667;0.5135135;0.6666667
5;0.5516687631607056;0.46162403;0.1492196239993972;0.4474512957100022;0.1978319783197832;0.7768052;0.13574661;0.4816825;0.37037036;0.5613208;0.144673168030851;0.5835835835835835;1.009244680404663;0.19718309859154928;0.91818184;0.1764706;0.54594594;0.6666667
6;0.5304343104362488;0.4560623;0.1530814819819902;0.45849037640082413;0.19543147208121828;0.783105;0.14533623;0.46540028;0.41358024;0.5471698;0.1412992647210311;0.5741741741741742;1.1722795963287354;0.19230769230769232;0.9082569;0.16504854;0.53513515;0.6296296
7;0.5525369644165039;0.46496108;0.14823171785221437;0.4414794713302176;0.19491525423728814;0.7770563;0.13501143;0.4871099;0.36419752;0.5518868;0.16726656460535072;0.5533533533533533;1.0616523027420044;0.18181818181818182;0.90909094;0.16666667;0.5405405;0.6296296
8;0.5348920822143555;0.4682981;0.1471628177340579;0.4387490158634437;0.1937669376693767;0.7784946;0.1359447;0.49118045;0.36419752;0.5330189;0.16768036395257055;0.5487487487487487;1.1152557134628296;0.1917808219178082;0.8909091;0.14705883;0.5297297;0.5555556
9;0.5243083834648132;0.45272526;0.14569879466654378;0.43284419652578854;0.19350282485875706;0.77904326;0.14130434;0.4640434;0.40123457;0.5188679;0.16610489058266648;0.5435435435435435;1.2051645517349243;0.18421052631578946;0.9108911;0.16216215;0.4972973;0.6666667
10;0.5253914594650269;0.5038932;0.15071897724762562;0.449000787309245;0.19213313161875945;0.78926444;0.14141414;0.5386703;0.34567901;0.5613208;0.16807730424083378;0.5439439439439439;1.0670408010482788;0.1917808219178082;0.9035088;0.1632653;0.55675673;0.5925926
11;0.519040048122406;0.5061179;0.1537569447729732;0.4598137259828802;0.19175911251980982;0.79241514;0.14572865;0.5386703;0.3580247;0.5566038;0.172213909721102;0.5467467467467467;1.1008235216140747;0.20588235294117646;0.9026549;0.16161616;0.55135137;0.5925926
12;0.5056747198104858;0.5250278;0.16069617862191687;0.4660368192706501;0.19444444444444445;0.7980769;0.15039578;0.5630936;0.35185185;0.5849057;0.17548140239816715;0.5577577577577577;1.0838288068771362;0.203125;0.90082645;0.16483517;0.5891892;0.5555556
13;0.5262876152992249;0.46496108;0.15358438126939145;0.43173861333065316;0.1873479318734793;0.78444445;0.14476615;0.4789688;0.40123457;0.5283019;0.1671909069760701;0.5351351351351352;1.1640602350234985;0.1891891891891892;0.88990825;0.14563107;0.5243243;0.5555556
14;0.5055894255638123;0.47163516;0.15576745320359942;0.4436990133507547;0.1903409090909091;0.7872807;0.14672686;0.4871099;0.40123457;0.5377358;0.16674259358949436;0.5379379379379379;1.0982789993286133;0.1794871794871795;0.89908254;0.1553398;0.5297297;0.5925926
15;0.497172087430954;0.5061179;0.15374638495572962;0.4556426621103238;0.1863799283154122;0.79837066;0.15441176;0.53188604;0.3888889;0.5613208;0.1649906206171043;0.5215215215215214;1.0364985466003418;0.1891891891891892;0.8965517;0.15625;0.56216216;0.5555556
16;0.49692848324775696;0.4894327;0.1629759779719906;0.44445282007471065;0.18648310387984982;0.79574466;0.15384616;0.5074627;0.4074074;0.5330189;0.16022630579381875;0.508108108108108;1.1320271492004395;0.1774193548387097;0.8909091;0.14705883;0.5297297;0.5555556
17;0.5017849802970886;0.45717463;0.14574039899862695;0.42978709147863375;0.18719211822660098;0.79572445;0.15899582;0.45454547;0.4691358;0.49056605;0.1588050921425072;0.5103103103103103;1.1748749017715454;0.18292682926829268;0.8811881;0.13513513;0.48108107;0.5555556
18;0.49625805020332336;0.45717463;0.15255331083864604;0.45114494865738647;0.18790849673202614;0.8058968;0.16869919;0.4450475;0.5123457;0.4811321;0.1647845519917166;0.5319319319319319;1.3016982078552246;0.18666666666666668;0.8947368;0.14529915;0.45945945;0.6296296
19;0.4831351935863495;0.45050055;0.14971157051618922;0.4423421612476339;0.18621523579201935;0.8;0.16396761;0.43962008;0.5;0.4811321;0.16100719874937552;0.518118118118118;1.3383007049560547;0.1794871794871795;0.9032258;0.15126051;0.45405406;0.6666667
20;0.4877846837043762;0.40711904;0.1433413250770897;0.4194599393604369;0.1837968561064087;0.8;0.16815743;0.36906376;0.5802469;0.41509435;0.15676604683563344;0.5015015015015014;1.4047160148620605;0.17073170731707318;0.886076;0.13533835;0.3783784;0.6666667
21;0.4849669635295868;0.46607342;0.14827454370571128;0.4413622125064911;0.18392204628501826;0.81265205;0.17418033;0.4531886;0.52469134;0.5;0.16142923447537338;0.5211211211211211;1.1457358598709106;0.1780821917808219;0.9072165;0.15652174;0.47567567;0.6666667
22;0.48195430636405945;0.42936596;0.14154467922724367;0.4141916679230112;0.1836734693877551;0.79946524;0.16571428;0.40569878;0.537037;0.4481132;0.15210458704256483;0.49229229229229227;1.3633965253829956;0.1566265060240964;0.8863636;0.13709678;0.42162162;0.6296296
23;0.4809625446796417;0.41045606;0.1457298459719757;0.4306330301355177;0.18478260869565216;0.7965616;0.16545455;0.3772049;0.5617284;0.4292453;0.13053381490504934;0.5105105105105106;1.4048925638198853;0.16470588235294117;0.8902439;0.13846155;0.39459458;0.6666667
24;0.4908207952976227;0.4115684;0.14936690494766053;0.43214901921369586;0.18331374853113983;0.79714286;0.16575591;0.37856174;0.5617284;0.41037735;0.15642073142681118;0.49869869869869865;1.4035297632217407;0.16091954022988506;0.88461536;0.13432837;0.37297297;0.6666667
25;0.48401838541030884;0.43604004;0.1487718942756795;0.4345025713184917;0.18266978922716628;0.79792744;0.16374269;0.41791046;0.5185185;0.45754716;0.13258088348528715;0.5123123123123123;1.3038182258605957;0.1590909090909091;0.89772725;0.14516129;0.42702702;0.6666667
26;0.47513487935066223;0.3926585;0.14659639452936363;0.4281789704675277;0.18192352259559674;0.79750776;0.16782007;0.34735414;0.59876543;0.38679245;0.13002779617465027;0.507107107107107;1.3842015266418457;0.16470588235294117;0.8767123;0.1294964;0.34594595;0.6666667
27;0.4665633738040924;0.44827586;0.14821415923826015;0.4310936898001574;0.1815028901734104;0.79036146;0.15495868;0.4450475;0.46296296;0.45754716;0.13205844950612244;0.5165165165165165;1.2943650484085083;0.18309859154929578;0.8888889;0.13934426;0.43243244;0.6296296
